year,name,average,color
2023,"Rory Mcllroy",326.3,#1f77b4
2022,Cameron Champ,321.4,#7f7f7f
2021,Bryson DeChambeau,323.7,#2ca02c
2020,Bryson DeChambeau,322.1,#2ca02c
2019,Cameron Champ,317.9,#7f7f7f
2018,Rory Mcllroy,319.7,#1f77b4
2017,Rory Mcllroy,317.2,#1f77b4
2016,J.B Holmes,314.5,#aec7e8
2015,Dustin Johnson ,317.7,#98df8a
2014,Bubba Watson,314.3,#bcbd22
2013,Luke List,306.3,#ffbb78
2012,Bubba Watson,315.5,#bcbd22
2011,J.B Holmes,318.4,#aec7e8
2010,Robert Garrigus,315.5,#17becf
2009,Robert Garrigus,312.0,#17becf
2008,Bubba Watson,315.1,#bcbd22
2007,Bubba Watson,315.2,#bcbd22
2006,Bubba Watson,319.6,#bcbd22
2005,Scott Hend,318.9,#8c564b
2004,Hank Kuehne,314.4,#9467bd
2003,Hank Kuehne,321.4,#9467bd
2002,John Daly ,306.8,#ff7f0e 
2001,John Daly ,306.7,#ff7f0e 
2000,John Daly ,301.4,#ff7f0e 
1999,John Daly ,305.6,#ff7f0e 
1998,John Daly ,299.4,#ff7f0e 
1997,Tiger Woods,294.8,#d62728 
1996,John Daly ,288.8,#ff7f0e 
1995,John Daly ,289.0,#ff7f0e 
1994,Davis Love III,283.8,#2ca02c
1993,John Daly,288.9,#ff7f0e 
